ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,ALIASES
sips_aps_fu_new,Integer,SIPS APS Status at respective follow-up visit,0;1;-900;-300,"if (any of (chrpsychs_fu_1c14, chrpsychs_fu_2c14, chrpsychs_fu_3c14, chrpsychs_fu_4c14, chrpsychs_fu_5c14, chrpsychs_fu_6c14, chrpsychs_fu_7c14, chrpsychs_fu_8c14, chrpsychs_fu_9c14, chrpsychs_fu_10c14, chrpsychs_fu_11c14, chrpsychs_fu_12c14, chrpsychs_fu_13c14, chrpsychs_fu_14c14, chrpsychs_fu_15c14) == 1) and chrpsychs_fu_ac1_conv == 0 or min(chrpsychs_fu_1c14_on, chrpsychs_fu_2c14_on, chrpsychs_fu_3c14_on, chrpsychs_fu_4c14_on, chrpsychs_fu_5c14_on, chrpsychs_fu_6c14_on, chrpsychs_fu_7c14_on, chrpsychs_fu_8c14_on, chrpsychs_fu_9c14_on, chrpsychs_fu_10c14_on, chrpsychs_fu_11c14_on, chrpsychs_fu_12c14_on, chrpsychs_fu_13c14_on, chrpsychs_fu_14c14_on, chrpsychs_fu_15c14_on) < conversion_date, then sips_aps_fu_new = 1, elseif: all of (chrpsychs_fu_1c14, chrpsychs_fu_2c14, chrpsychs_fu_3c14, chrpsychs_fu_4c14, chrpsychs_fu_5c14, chrpsychs_fu_6c14, chrpsychs_fu_7c14, chrpsychs_fu_8c14, chrpsychs_fu_9c14, chrpsychs_fu_10c14, chrpsychs_fu_11c14, chrpsychs_fu_12c14, chrpsychs_fu_13c14, chrpsychs_fu_14c14, chrpsychs_fu_15c14) == 0) or (chrpsychs_fu_ac1_conv == 1 and (min(chrpsychs_fu_1c14_on, chrpsychs_fu_2c14_on, chrpsychs_fu_3c14_on, chrpsychs_fu_4c14_on, chrpsychs_fu_5c14_on, chrpsychs_fu_6c14_on, chrpsychs_fu_7c14_on, chrpsychs_fu_8c14_on, chrpsychs_fu_9c14_on, chrpsychs_fu_10c14_on, chrpsychs_fu_11c14_on, chrpsychs_fu_12c14_on, chrpsychs_fu_13c14_on, chrpsychs_fu_14c14_on, chrpsychs_fu_15c14_on)) >= conversion_date, then sips_aps_fu_new = 0, else sips_aps_fu_new = -900. Same equation applies to HC follow up variables.",
sips_aps_lifetime,Integer,SIPS APS Lifetime,0;1;-900;-300,"if (sips_aps_scr_lifetime == 1 or any of current or preceding visits' sips_aps_fu_new == 1) then sips_aps_lifetime = 1, else if sips_aps_scr_lifetime == 0 and all current or preceding visits' sips_aps_fu_new == 0, then sips_aps_lifetime= 0, else -900.",
sips_grd_fu_new,Integer,SIPS GRD Status at respective follow-up visit,0;1;-900;-300,"if (chrpsychs_fu_e4_new == 1) and chrpsychs_fu_ac1_conv == 0 or chrpsychs_fu_e4_date < conversion_date, then sips_grd_fu_new = 1, elseif: (chrpsychs_fu_e4_new== 0) or (chrpsychs_fu_ac1_conv == 1 and (chrpsychs_fu_e4_date) >= conversion_date, then sips_grd_fu_new = 0, else -900. Same equation applies to HC follow up variables.",
sips_grd_lifetime,Integer,SIPS GRD Lifetime,0;1;-900;-300,"if (any of (chrpsychs_scr_ac21, chrpsychs_scr_ac22, chrpsychs_scr_ac23, chrpsychs_scr_ac24) == 1 or any of current or preceding visits' sips_grd_fu_new == 1) then sips_grd_lifetime = 1, else if all (chrpsychs_scr_ac21, chrpsychs_scr_ac22, chrpsychs_scr_ac23, chrpsychs_scr_ac24) == 0 and all current or preceding visits' sips_grd_fu_new == 0, then sips_grd_lifetime == 0, else -900. ",
,,,,,
sips_chr_lifetime,Integer,SIPS CHR Status at follow-up visit Lifetime,0;1;-900;-300,"if (any of (sips_bips_lifetime, sips_aps_lifetime, sips_grd_lifetime) == 1) then sips_chr_lifetime = 1, elseif: all of (sips_bips_lifetime, sips_aps_lifetime, sips_grd_lifetime) == 0) , then sips_chr_lifetime = 0, else sips_chr_lifetime = -900. ",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
